id,term,group,definition,variants
dharma,dharma,Concepts,"Order, duty, law, or right conduct; the exact sense depends on context.",dharma|dharma-field
karma,karma,Concepts,"Action, deed, or the consequences bound to action.",karma|karma-yoga
yoga,yoga,Concepts,"Discipline, practice, integration, or path toward steadiness and liberation. Literal meaning is ""yoking"", ""uniting"", ""joining"" (from the root yuj: ""to yoke"", ""to unite"").",yoga|yogī|yogi|karma-yoga|buddhi-yoga|Sāṅkhya-yoga|bhakti-yoga|practice-yoga|yoga-maya
bhakti,bhakti,Concepts,"Devotion or devoted participation, especially toward the divine.",bhakti|bhakti-yoga
buddhi,buddhi,Concepts,"Intellect, discernment, or decisive understanding.",buddhi|buddhi-yoga
atman,Atman,Concepts,Self or inner principle; kept distinct from ordinary ego or personality.,Atman|Ātman
brahman,Brahman,Concepts,The ultimate reality or absolute principle.,Brahman|Brahma-nirvana|Brahman-nirvana|Brahma-yoga|Brahma-sūtra|Brahman-realization
brahmin,Brahmin,Social and ritual terms,A member of the priestly or learned class; Sanskrit brāhmaṇa.,Brahmin|brahmin|brāhmaṇa|brāhmaṇas
guna,guna,Concepts,"A quality or constituent tendency of prakriti: sattva, rajas, and tamas.",guna|gunas|guṇa|guṇas
sattva,sattva,Concepts,"The guna associated with clarity, balance, and illumination.",sattva|sāttvika|Sattva
rajas,rajas,Concepts,"The guna associated with activity, passion, impulse, and restlessness.",rajas|rājasika|Rajas
tamas,tamas,Concepts,"The guna associated with inertia, dullness, confusion, and obstruction.",tamas|tāmasika|Tamas
prakriti,prakriti,Concepts,"Nature, material process, or the field of change and manifestation.",prakriti|Prakriti|prakṛti|Prakṛti
purusha,purusha,Concepts,"Person, spirit, or conscious principle; meaning varies by passage.",purusha|Purusha|puruṣa|Puruṣa|Purushottama
kshetra,kshetra,Concepts,"Field, especially the body or field of experience in Chapter 13.",kshetra|kṣetra
kshetrajna,kshetrajna,Concepts,Knower of the field; the conscious principle related to kshetra.,kshetrajna|kṣetrajña
maya,maya,Concepts,"Power of appearance, concealment, or manifestation; context-dependent.",maya|Maya|māyā|Māyā|yoga-maya
yajna,yajna,Social and ritual terms,"Sacrifice, ritual offering, or consecrated action.",yajna|yajña|adhiyajña
sannyasa,sannyasa,Concepts,"Renunciation or giving up, especially of possessive attachment to action.",sannyasa|sannyāsa
tyaga,tyaga,Concepts,"Abandonment, renunciation, or relinquishing attachment to the fruits of action.",tyāga|tyaga
nirvana,nirvana,Concepts,"Extinction, peace, or release; here often linked with Brahman.",nirvana|nirvāṇa|Brahma-nirvana|Brahman-nirvana
samsara,samsara,Concepts,"The ongoing cycle of worldly becoming, birth, death, and attachment.",saṃsāra|samsara
sankhya,Sankhya,Concepts,A path or framework of discriminative knowledge; here not always a formal school label.,Sankhya|Sāṅkhya|Sāṅkhyas|Sāṅkhya-yoga
veda,Vedas,Social and ritual terms,Ancient sacred texts of the Vedic tradition.,Veda|Vedas|Ṛg|Sāma|Bṛhat-sāma|Gāyatrī
om,Om,Social and ritual terms,Sacred syllable used as a concise sign of the absolute or divine.,Om|AUM
kshatriya,kshatriya,Social and ritual terms,Member of the warrior or ruling class.,kshatriya|kṣatriya
vaishya,vaishya,Social and ritual terms,"Member of the class associated with trade, agriculture, and herding.",vaiśya|vaiśyas|vaishya|vaishyas
shudra,shudra,Social and ritual terms,Member of the service class in the traditional varna scheme.,śūdra|śūdras|shudra|shudras
acharya,acharya,Social and ritual terms,Teacher or preceptor.,ācārya|acharya
krishna,Krishna,Names and epithets,"Krishna, speaker of the teaching to Arjuna.",Krishna|Kṛṣṇa
arjuna,Arjuna,Names and epithets,"Arjuna, the warrior addressed by Krishna.",Arjuna
partha,Partha,Names and epithets,Epithet of Arjuna: son of Pritha/Kunti.,Partha|Pārtha|Pṛthā
kaunteya,Kaunteya,Names and epithets,Epithet of Arjuna: son of Kunti.,Kaunteya|Kunti
dhananjaya,Dhananjaya,Names and epithets,"Epithet of Arjuna, often understood as winner of wealth.",Dhananjaya|Dhanañjaya
gudakesha,Gudakesha,Names and epithets,"Epithet of Arjuna, commonly linked with mastery over sleep.",Guḍākeśa|Gudakesha
bharata,Bharata,Names and epithets,"A dynastic or ancestral name, often used as an address.",Bharata|Bhārata|Bharatas|Bhāratas
pandava,Pandava,Names and epithets,One of the sons or descendants of Pandu; often refers to Arjuna and his brothers.,Pāṇḍava|Pāṇḍavas|Pandava|Pandavas|Pāṇḍu
janardana,Janardana,Names and epithets,Epithet of Krishna.,Janardana|Janārdana
keshava,Keshava,Names and epithets,Epithet of Krishna.,Keshava|Keśava
madhusudana,Madhusudana,Names and epithets,Epithet of Krishna: slayer of Madhu.,Madhusudana|Madhusūdana
madhava,Madhava,Names and epithets,Epithet of Krishna.,Madhava|Mādhava
hrishikesha,Hrishikesha,Names and epithets,"Epithet of Krishna, often understood as lord of the senses.",Hṛṣīkeśa|Hrishikesha
vasudeva,Vasudeva,Names and epithets,"Name or epithet of Krishna, son of Vasudeva.",Vāsudeva|Vasudeva
govinda,Govinda,Names and epithets,Epithet of Krishna.,Govinda
acyuta,Acyuta,Names and epithets,"Epithet of Krishna, often glossed as the unfailing one.",Acyuta
